Date,Store,Bike Type,Sales,Profit
31/03/2020,Dulwich,Gravel,52.98,14.8344
31/03/2020,Chelsea,Gravel,4.032,1.0584
31/03/2020,Westminster,Gravel,695.199,228.0478
31/03/2020,Westminster,Road,1.869,-1.3083
31/03/2020,Notting Hill,Gravel,1125.488,98.4802
01/04/2020,Westminster,Gravel,17.088,5.5536
01/04/2020,Westminster,Road,6.24,3.0576
01/04/2020,Whitechapel,Gravel,29.6,14.8
01/04/2020,Peckham,Road,66.96,2.6784
02/04/2020,Dulwich,Gravel,154.9,40.274
02/04/2020,Fulham,Road,177.68,46.1968
02/04/2020,Brixton,Gravel,76.048,26.945
02/04/2020,Richmond,Gravel,1049.93,293.9804
03/04/2020,Wimbledon,Road,222.29,80.0244
03/04/2020,Soho,Road,11.16,5.58
04/04/2020,Wimbledon,Road,99.98,42.9914
04/04/2020,Chelsea,Gravel,79.36,23.808
04/04/2020,Westminster,Road,7.184,2.245
04/04/2020,Fulham,Gravel,5.47,2.3521
04/04/2020,Whitechapel,Mountain,18.9,9.072
04/04/2020,Brixton,Road,32.4,15.6816
04/04/2020,Peckham,Road,232.55,9.302
05/04/2020,Chelsea,Gravel,40.59,12.0597
05/04/2020,Chelsea,Road,45.92,14.2352
05/04/2020,Westminster,Gravel,40.2,18.09
05/04/2020,Westminster,Road,115.36,56.5264
05/04/2020,Brixton,Road,12.96,6.3504
05/04/2020,Brixton,Mountain,55.48,26.6304
05/04/2020,Richmond,Road,28.99,8.4071
05/04/2020,Peckham,Gravel,689.82,20.6946
05/04/2020,Peckham,Road,101.728,7.6296
05/04/2020,Croydon,Road,4164.05,83.281
06/04/2020,Wimbledon,Road,333.87,134.0208
06/04/2020,Wimbledon,Mountain,116.784,21.897
06/04/2020,Chelsea,Road,70.95,18.447
06/04/2020,Westminster,Road,110.478,-12.1596
06/04/2020,Fulham,Road,125.07,28.5461
06/04/2020,Brixton,Road,74.92,35.9616
06/04/2020,Croydon,Mountain,10.304,-2.1896
06/04/2020,Tottenham,Road,653.55,111.1035
06/04/2020,Tottenham,Mountain,154.764,-36.1116
07/04/2020,Fulham,Gravel,8.96,2.7776
07/04/2020,Brixton,Road,122.97,60.2553
07/04/2020,Brixton,Mountain,58.32,27.9936
07/04/2020,Richmond,Road,629.95,163.787
07/04/2020,Richmond,Mountain,200.97,50.2425
08/04/2020,Wimbledon,Mountain,399.96,139.986
08/04/2020,Mayfair,Road,2.368,0.8288
08/04/2020,Mayfair,Mountain,49.792,-11.8256
08/04/2020,Brixton,Road,19.008,6.8904
08/04/2020,Tottenham,Gravel,172.11,-94.6605
08/04/2020,Tottenham,Road,1215.92,316.1392
08/04/2020,Tottenham,Mountain,99.592,2.4898
11/04/2020,Wimbledon,Gravel,937.36,214.9127
11/04/2020,Westminster,Gravel,9.584,3.3544
11/04/2020,Mayfair,Gravel,6.912,2.3328
11/04/2020,Brixton,Gravel,10.368,3.6288
11/04/2020,Richmond,Gravel,105.584,9.2386
11/04/2020,Richmond,Mountain,758.352,265.4232
11/04/2020,Peckham,Gravel,87.08,24.3824
12/04/2020,Chelsea,Road,39.68,16.2688
12/04/2020,Westminster,Road,18.088,6.5569
12/04/2020,Shoreditch,Road,308.499,-18.147
12/04/2020,Brixton,Gravel,32.4,15.552
12/04/2020,Richmond,Road,1513.456,132.4274
13/04/2020,Chelsea,Road,17.856,1.116
13/04/2020,Westminster,Road,509.97,-407.976
13/04/2020,Mayfair,Road,30.992,10.0724
13/04/2020,Whitechapel,Mountain,7.83,3.6018
13/04/2020,Richmond,Road,71.928,8.3916
15/04/2020,Dulwich,Mountain,106.96,31.0184
15/04/2020,Fulham,Mountain,187.76,76.9816
16/04/2020,Chelsea,Road,39.072,9.768
18/04/2020,Wimbledon,Gravel,227.976,28.497
18/04/2020,Chelsea,Gravel,26.558,8.3603
18/04/2020,Notting Hill,Gravel,317.058,-18.1176
18/04/2020,Soho,Gravel,149.352,50.4063
18/04/2020,Mayfair,Gravel,11.62,3.6022
18/04/2020,Stratford,Gravel,287.968,97.1892
19/04/2020,Westminster,Gravel,58.05,26.703
19/04/2020,Fulham,Mountain,76.14,26.649
19/04/2020,Brixton,Gravel,71.28,34.2144
20/04/2020,Fulham,Gravel,59.92,27.5632
20/04/2020,Peckham,Gravel,44.84,5.605
20/04/2020,Tottenham,Gravel,1145.69,-227.621
21/04/2020,Westminster,Gravel,16.52,5.5755
21/04/2020,Peckham,Road,828.84,0
22/04/2020,Westminster,Road,9.912,3.3453
22/04/2020,Soho,Road,247.84,121.4416
23/04/2020,Westminster,Road,2.502,-1.7514
23/04/2020,Westminster,Mountain,7.488,-5.2416
23/04/2020,Notting Hill,Mountain,562.744,-24.1176
23/04/2020,Fulham,Mountain,22.336,7.8176
23/04/2020,Brixton,Mountain,48.91,22.9877
25/04/2020,Dulwich,Mountain,270.72,78.5088
25/04/2020,Chelsea,Mountain,6.24,0.546
25/04/2020,Notting Hill,Mountain,1487.04,148.704
25/04/2020,Fulham,Mountain,303.25,63.6825
25/04/2020,Brixton,Mountain,10.368,3.6288
25/04/2020,Richmond,Gravel,302.376,37.797
26/04/2020,Chelsea,Mountain,21.4,6.206
26/04/2020,Westminster,Road,18.288,5.715
26/04/2020,Notting Hill,Road,230.28,23.028
26/04/2020,Whitechapel,Mountain,12.6,5.796
28/04/2020,Wimbledon,Road,159.98,57.5928
28/04/2020,Chelsea,Road,5.34,1.4952
28/04/2020,Westminster,Road,20.86,9.387
28/04/2020,Whitechapel,Road,10.062,4.0176
28/04/2020,Richmond,Gravel,1679.96,125.997
28/04/2020,Peckham,Road,702.274,93.6776
29/04/2020,Westminster,Gravel,17.94,8.6112
29/04/2020,Notting Hill,Gravel,51.96,12.99
29/04/2020,Notting Hill,Road,561.584,70.198
29/04/2020,Fulham,Gravel,17.46,5.9364
29/04/2020,Richmond,Gravel,19.98,5.1948
29/04/2020,Peckham,Road,99.92,-1.249
30/04/2020,Wimbledon,Gravel,47.79,16.2486
30/04/2020,Chelsea,Gravel,174.95,45.487
30/04/2020,Peckham,Gravel,826,214.76
02/05/2020,Dulwich,Gravel,26.136,1.9602
02/05/2020,Covent Garden,Gravel,479.984,89.997
03/05/2020,Westminster,Gravel,51.072,18.5136
03/05/2020,Whitechapel,Mountain,21.56,10.3488
04/05/2020,Dulwich,Road,57.68,19.0344
04/05/2020,Chelsea,Gravel,37.84,2.838
04/05/2020,Westminster,Gravel,46.8,21.06
04/05/2020,Mayfair,Gravel,5.472,1.8468
04/05/2020,Fulham,Gravel,27.46,9.8856
04/05/2020,Fulham,Road,12.18,3.8976
05/05/2020,Chelsea,Gravel,6.56,1.9024
05/05/2020,Westminster,Road,11.88,5.346
05/05/2020,Notting Hill,Gravel,127.869,-9.1335
05/05/2020,Brixton,Gravel,33.98,15.7822
05/05/2020,Brixton,Road,35.44,16.6568
05/05/2020,Peckham,Road,45.248,3.9592
06/05/2020,Chelsea,Mountain,107.94,30.2232
06/05/2020,Westminster,Mountain,140.736,52.776
06/05/2020,Whitechapel,Mountain,5.78,2.7166
07/05/2020,Chelsea,Gravel,17.28,5.0112
07/05/2020,Westminster,Gravel,32.28,15.8172
07/05/2020,Notting Hill,Gravel,1744.64,488.4992
07/05/2020,Tottenham,Gravel,388.5,-77.7
08/05/2020,Covent Garden,Gravel,1799.97,239.996
09/05/2020,Wimbledon,Gravel,235.77,44.3808
09/05/2020,Whitechapel,Road,30.1,14.035
09/05/2020,Brixton,Road,45.36,21.7728
09/05/2020,Peckham,Road,83.25,14.985
10/05/2020,Chelsea,Gravel,22.32,5.301
10/05/2020,Shoreditch,Gravel,349.965,-216.9783
10/05/2020,Notting Hill,Gravel,256.784,32.098
10/05/2020,Soho,Gravel,158.13,77.4837
10/05/2020,Brixton,Gravel,39.96,19.1808
10/05/2020,Richmond,Gravel,1475.6,129.66
10/05/2020,Croydon,Gravel,41.04,11.0808
11/05/2020,Wimbledon,Gravel,104.976,14.8794
11/05/2020,Dulwich,Road,35.91,9.6957
11/05/2020,Westminster,Mountain,104.58,-172.557
11/05/2020,Notting Hill,Road,1212.96,-69.312
11/05/2020,Fulham,Gravel,66.112,-84.2928
11/05/2020,Brixton,Mountain,17.472,5.6784
11/05/2020,Richmond,Gravel,100.792,6.2995
12/05/2020,Fulham,Gravel,34.79,10.7849
12/05/2020,Tottenham,Gravel,700.056,-130.0104
13/05/2020,Wimbledon,Gravel,149.97,52.4895
13/05/2020,Westminster,Mountain,398.352,-331.96
13/05/2020,Notting Hill,Road,279.456,20.9592
13/05/2020,Mayfair,Mountain,7.104,2.3976
13/05/2020,Brixton,Road,8,3.84
13/05/2020,Peckham,Gravel,55.5,9.99
14/05/2020,Fulham,Road,310.88,23.316
16/05/2020,Wimbledon,Gravel,56.4,3.384
16/05/2020,Notting Hill,Road,232.88,17.466
17/05/2020,Westminster,Mountain,91.68,45.84
18/05/2020,Fulham,Gravel,149.232,3.7308
18/05/2020,Brixton,Gravel,19.92,7.221
18/05/2020,Richmond,Gravel,779.796,-168.9558
19/05/2020,Westminster,Gravel,57.42,26.4132
19/05/2020,Croydon,Gravel,34.2,9.234
20/05/2020,Wimbledon,Road,20.784,-3.6372
20/05/2020,Dulwich,Road,33.28,9.3184
20/05/2020,Chelsea,Road,38.52,11.9412
20/05/2020,Notting Hill,Mountain,518.27,-97.18
20/05/2020,Fulham,Road,150.192,54.1989
20/05/2020,Fulham,Mountain,6.98,3.35
20/05/2020,Stratford,Mountain,343.2,38.61
20/05/2020,Brixton,Road,10.368,3.6288
20/05/2020,Peckham,Road,66.96,-13.392
21/05/2020,Dulwich,Mountain,491.76,137.6928
21/05/2020,Chelsea,Mountain,31.84,10.5072
21/05/2020,Westminster,Gravel,18.24,-31.008
21/05/2020,Westminster,Road,2715.93,1276.4871
21/05/2020,Westminster,Mountain,895.72,438.9028
21/05/2020,Notting Hill,Gravel,107.772,-29.2524
21/05/2020,Soho,Gravel,56.064,21.024
21/05/2020,Brixton,Gravel,4.832,1.6308
21/05/2020,Brixton,Mountain,35.88,17.5812
21/05/2020,Richmond,Road,617.97,173.0316
22/05/2020,Richmond,Gravel,180.93,46.581
23/05/2020,Dulwich,Gravel,208.16,56.2032
23/05/2020,Chelsea,Gravel,21.168,2.3814
23/05/2020,Westminster,Gravel,21.242,3.2114
23/05/2020,Brixton,Gravel,12.96,6.2208
23/05/2020,Richmond,Gravel,55.188,-10.1178
23/05/2020,Croydon,Gravel,5.04,0.1512
24/05/2020,Brixton,Gravel,116.28,56.9772
25/05/2020,Dulwich,Gravel,75.6,-166.32
25/05/2020,Fulham,Gravel,29.32,-24.189
25/05/2020,Brixton,Gravel,14.62,6.7252
26/05/2020,Chelsea,Gravel,13.392,3.1806
26/05/2020,Shoreditch,Road,290.666,27.3568
26/05/2020,Notting Hill,Gravel,585.068,17.39
26/05/2020,Brixton,Mountain,48.4,23.232
26/05/2020,Richmond,Road,285.568,51.6524
26/05/2020,Peckham,Gravel,102.624,7.6968
27/05/2020,Wimbledon,Gravel,99.99,37.9962
27/05/2020,Westminster,Gravel,17.46,-30.555
27/05/2020,Richmond,Gravel,1113.504,125.2692
27/05/2020,Peckham,Road,359.32,7.1864
27/05/2020,Tottenham,Road,567.12,-28.356
28/05/2020,Wimbledon,Road,27.6,2.208
28/05/2020,Westminster,Gravel,136.96,51.36
28/05/2020,Richmond,Road,57.408,5.7408
30/05/2020,Dulwich,Road,235.95,77.8635
30/05/2020,Westminster,Gravel,70.368,26.388
30/05/2020,Westminster,Road,25.584,8.9544
30/05/2020,Covent Garden,Road,719.976,134.9955
30/05/2020,Brixton,Road,53.58,24.111
30/05/2020,Richmond,Road,464,134.56
30/05/2020,Tottenham,Gravel,355.455,-184.8366
31/05/2020,Richmond,Gravel,773.7,230.9727
01/06/2020,Dulwich,Road,65.52,12.376
01/06/2020,Dulwich,Mountain,1503.25,496.0725
01/06/2020,Chelsea,Mountain,289.2,83.868
01/06/2020,Westminster,Road,138.56,66.5088
01/06/2020,Westminster,Mountain,45.48,20.9208
01/06/2020,Notting Hill,Mountain,2001.86,580.5394
01/06/2020,Fulham,Gravel,22.2,9.102
01/06/2020,Brixton,Mountain,73.8,36.3816
01/06/2020,Richmond,Gravel,881.93,229.3018
01/06/2020,Peckham,Mountain,166.72,41.68
02/06/2020,Chelsea,Gravel,8.56,2.6536
02/06/2020,Westminster,Mountain,59.808,19.4376
02/06/2020,Fulham,Mountain,73.32,21.996
02/06/2020,Richmond,Gravel,239.97,67.1916
02/06/2020,Peckham,Gravel,356.94,107.082
03/06/2020,Soho,Mountain,15.28,7.4872
03/06/2020,Fulham,Gravel,61.544,-40.0036
03/06/2020,Whitechapel,Gravel,15.936,5.1792
03/06/2020,Peckham,Gravel,132.696,9.9522
03/06/2020,Tottenham,Gravel,515.88,113.4936
04/06/2020,Dulwich,Gravel,15.56,4.0456
04/06/2020,Shoreditch,Gravel,353.568,-44.196
04/06/2020,Fulham,Gravel,70.92,27.776
04/06/2020,Brixton,Mountain,16.224,5.8812
06/06/2020,Chelsea,Gravel,13.36,4.9432
06/06/2020,Westminster,Gravel,25.953,-39.0214
06/06/2020,Westminster,Road,149.544,50.4711
06/06/2020,Soho,Gravel,13.984,4.7196
06/06/2020,Whitechapel,Mountain,100.24,33.831
06/06/2020,Brixton,Gravel,62.016,22.4808
06/06/2020,Croydon,Road,17.14,4.4564
06/06/2020,Tottenham,Road,991.764,-347.1174
07/06/2020,Westminster,Road,12.462,-20.5623
07/06/2020,Tottenham,Gravel,268.935,-209.7693
08/06/2020,Westminster,Gravel,68.48,25.68
08/06/2020,Notting Hill,Gravel,585.552,73.194
08/06/2020,Notting Hill,Road,170.352,10.647
08/06/2020,Peckham,Gravel,1676.88,83.844
09/06/2020,Wimbledon,Mountain,63.984,10.3974
09/06/2020,Dulwich,Gravel,114.9,34.47
09/06/2020,Chelsea,Gravel,30.38,12.5916
09/06/2020,Chelsea,Road,18.06,4.6956
09/06/2020,Chelsea,Mountain,70.368,6.1572
09/06/2020,Westminster,Gravel,18.504,5.7825
09/06/2020,Fulham,Gravel,48.86,14.1694
09/06/2020,Fulham,Road,37.4,14.212
09/06/2020,Brixton,Road,79.14,36.4044
09/06/2020,Richmond,Gravel,1818.576,159.072
09/06/2020,Richmond,Mountain,7.992,0.5994
09/06/2020,Croydon,Gravel,7.36,0.1472
09/06/2020,Tottenham,Gravel,3147.484,330.3302
10/06/2020,Whitechapel,Road,491.55,240.8595
13/06/2020,Chelsea,Road,14.52,4.7916
14/06/2020,Shoreditch,Mountain,212.94,57.4938
15/06/2020,Westminster,Road,8.568,-14.5656
15/06/2020,Notting Hill,Road,797.944,-56.996
15/06/2020,Brixton,Gravel,36.544,11.8768
15/06/2020,Tottenham,Road,99.918,-18.5562
16/06/2020,Chelsea,Gravel,35,10.5
16/06/2020,Westminster,Gravel,39.552,14.3376
16/06/2020,Notting Hill,Gravel,647.84,32.392
16/06/2020,Soho,Gravel,41.4,19.458
17/06/2020,Westminster,Gravel,3266.376,1061.5722
17/06/2020,Mayfair,Gravel,17.9,8.95
17/06/2020,Fulham,Gravel,6.24,2.6208
17/06/2020,Stratford,Gravel,65.97,31.0059
17/06/2020,Brixton,Gravel,62.016,22.4808
18/06/2020,Brixton,Mountain,74.352,23.235
18/06/2020,Richmond,Gravel,139.8,12.2325
20/06/2020,Dulwich,Gravel,471.9,155.727
20/06/2020,Chelsea,Gravel,3.52,1.6896
20/06/2020,Westminster,Gravel,3.392,-5.088
20/06/2020,Shoreditch,Gravel,193.0656,-19.8744
20/06/2020,Stratford,Gravel,418.8,-97.72
20/06/2020,Brixton,Gravel,27.2,9.52
20/06/2020,Richmond,Gravel,201.584,20.1584
